ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
مازندران,چالوس,مرزن آباد,6743,20318,10844,9474,36.35747835,51.1791277680623
مازندران,جويبار,گيل خوران,7474,22757,11483,11274,36.75327,52.918205992751666
مازندران,جويبار,مركزئ,17804,54819,27907,26912,34.9970417,50.289292719649126
مازندران,گلوگاه,كلباد,3895,11856,5963,5893,#,#
مازندران,گلوگاه,مركزئ,9252,28222,14286,13936,34.9970417,50.289292719649126
مازندران,فريدونكنار,دهفري,4530,13328,6794,6534,36.6898724,52.513430272123685
مازندران,فريدونكنار,مركزي,15536,46703,23737,22966,34.9970417,50.289292719649126
مازندران,عباس آباد,مركزي,8447,25436,12891,12545,34.9970417,50.289292719649126
مازندران,عباس آباد,سلمانشهر,5253,16427,8407,8020,#,#
مازندران,عباس آباد,کلار,3645,10969,5567,5402,36.70351555,51.25442253131811
مازندران,مياندورود,مركزي,13224,40303,20242,20061,34.9970417,50.289292719649126
مازندران,مياندورود,گهرباران,5029,14750,7405,7345,36.78708064999999,53.1992486626382
مازندران,سيمرغ,مرکزي,4333,12798,6469,6329,35.9929045,52.94912620817931
مازندران,سيمرغ,تالارپي,2303,6578,3282,3296,#,#
مازندران,سوادکوه شمالي,مرکزي,6087,17818,8956,8862,35.9929045,52.94912620817931
مازندران,سوادکوه شمالي,نارنجستان,2389,7016,3519,3497,36.33330835,52.94657029340789
مازندران,کلاردشت,مرکزي,8067,23648,11981,11667,35.9929045,52.94912620817931
آذربايجان شرقي,اهر,مرکزي,40048,133829,67245,66584,35.9929045,52.94912620817931
آذربايجان شرقي,اهر,هوراند,6154,20701,10511,10190,38.8604709,47.3683131
آذربايجان شرقي,تبريز,مرکزي,548605,1724369,872252,852117,35.9929045,52.94912620817931
آذربايجان شرقي,تبريز,خسروشاه,15054,48663,24904,23759,37.99798175,46.023051712308074
آذربايجان شرقي,سراب,مرکزي,29735,97096,49979,47117,35.9929045,52.94912620817931
آذربايجان شرقي,سراب,مهربان,8710,28244,14598,13646,38.01350175,47.204984795246
آذربايجان شرقي,مراغه,مرکزي,73667,240972,122644,118328,35.9929045,52.94912620817931
آذربايجان شرقي,مراغه,سراجو,6593,21631,11095,10536,37.29445265,46.516914616229805
آذربايجان شرقي,مرند,مرکزي,67031,217093,110412,106681,35.9929045,52.94912620817931
آذربايجان شرقي,مرند,يامچي,8679,27877,14233,13644,38.669784500000006,45.37634745001408
آذربايجان شرقي,ميانه,ترکمانچاي,7058,21387,10986,10401,37.5451549,47.399238588417646
آذربايجان شرقي,ميانه,کاغذکنان,3785,10729,5488,5241,37.25935845,48.14789835272987
آذربايجان شرقي,ميانه,کندوان,6897,21131,10978,10153,37.68974125,47.79550650526106
آذربايجان شرقي,ميانه,مرکزي,39924,129600,66902,62698,35.9929045,52.94912620817931
آذربايجان شرقي,هشترود,مرکزي,13143,43463,22379,21084,35.9929045,52.94912620817931
آذربايجان شرقي,هشترود,نظرکهريزي,4030,13736,7229,6507,37.38278665,46.787945643976144
آذربايجان شرقي,بناب,مرکزي,42325,134892,68457,66435,35.9929045,52.94912620817931
آذربايجان شرقي,بستان آباد,تيکمه داش,6782,22545,11624,10921,37.6889076,46.98733002053136
آذربايجان شرقي,بستان آباد,مرکزي,20864,72223,37423,34800,35.9929045,52.94912620817931
آذربايجان شرقي,شبستر,صوفيان,12083,37646,19011,18635,38.2932949,46.02886428409931
آذربايجان شرقي,شبستر,مرکزي,25441,78933,39772,39161,35.9929045,52.94912620817931
آذربايجان شرقي,شبستر,تسوج,6458,18842,9267,9575,38.26241225,45.34248681151963
آذربايجان شرقي,کليبر,مرکزي,7832,24297,12365,11932,35.9929045,52.94912620817931
آذربايجان شرقي,کليبر,آبش احمد,6313,21828,11180,10648,38.9321573,47.3152953
آذربايجان شرقي,هريس,خواجه,8530,28535,14432,14103,38.237675249999995,46.69325699874476
آذربايجان شرقي,هريس,مرکزي,12109,40558,20290,20268,35.9929045,52.94912620817931
آذربايجان شرقي,جلفا,سيه رود,2488,8006,4100,3906,38.7823116,46.05085852660764
آذربايجان شرقي,جلفا,مرکزي,16955,53352,27462,25890,35.9929045,52.94912620817931
آذربايجان شرقي,ملکان,ليلان,7526,25381,13301,12080,37.047778699999995,46.252685136605315
آذربايجان شرقي,ملکان,مرکزي,26072,85938,44365,41573,35.9929045,52.94912620817931
آذربايجان شرقي,آذرشهر,گوگان,8117,24873,12724,12149,37.80405885,45.83971472088571
آذربايجان شرقي,آذرشهر,ممقان,3937,11892,5870,6022,37.83710145,45.98331743088333
آذربايجان شرقي,آذرشهر,حومه,23309,73544,37434,36110,37.68543455,45.84511230735063
آذربايجان شرقي,اسکو,ايلخچي,10088,30818,15625,15193,37.853857250000004,45.488061561275366
آذربايجان شرقي,اسکو,مرکزي,40586,127452,64936,62516,35.9929045,52.94912620817931
آذربايجان شرقي,چاراويماق,شاديان,3214,11367,5922,5445,37.0193129,47.274932446327156
آذربايجان شرقي,چاراويماق,مرکزي,5802,19704,10060,9644,35.9929045,52.94912620817931
آذربايجان شرقي,ورزقان,خاروانا,5308,16753,8597,8156,38.61912505,46.25762806936429
آذربايجان شرقي,ورزقان,مرکزي,10965,35897,18404,17493,35.9929045,52.94912620817931
آذربايجان شرقي,عجب شير,قلعه چاي,5068,17007,8612,8395,37.59148115,46.12938702271509
آذربايجان شرقي,عجب شير,مرکزي,15540,53845,29576,24269,35.9929045,52.94912620817931
آذربايجان شرقي,خداآفرين,مرکزي,2617,8531,4286,4245,35.9929045,52.94912620817931
آذربايجان شرقي,خداآفرين,گرمادوز,3715,12544,6419,6125,39.31368335,47.31113375905805
آذربايجان شرقي,خداآفرين,منجوان,3864,11920,6046,5874,38.9502034,46.79305644358969
آذربايجان غربي,اروميه,انزل,6825,25599,13825,11774,37.9904307,45.09070043566642
آذربايجان غربي,اروميه,سيلوانه,14202,60368,30491,29877,37.387855900000005,44.79870604289104
آذربايجان غربي,اروميه,صومائ برادوست,7831,35183,17784,17399,37.85086125,44.604865649363795
آذربايجان غربي,اروميه,مركزئ,264760,879709,444984,434725,34.9970417,50.289292719649126
آذربايجان غربي,اروميه,نازلو,10683,39701,20189,19512,37.7583537,45.1331028542177
آذربايجان غربي,پيرانشهر,مركزئ,28893,115200,58266,56934,34.9970417,50.289292719649126
آذربايجان غربي,پيرانشهر,لاجان,5667,23664,12701,10963,36.74465625,45.4173544083894
آذربايجان غربي,خوئ,مركزئ,85342,288269,145636,142633,34.9970417,50.289292719649126
آذربايجان غربي,خوئ,صفائيه,4893,19543,10035,9508,38.77373465,44.51565603396815
آذربايجان غربي,خوئ,ايواوغلي,5055,16259,8324,7935,38.6335109,45.135261101298084
آذربايجان غربي,خوئ,قطور,5838,24591,12637,11954,38.4746856,44.52005765941325
آذربايجان غربي,سردشت,مركزئ,22964,86590,44030,42560,34.9970417,50.289292719649126
آذربايجان غربي,سردشت,وزينه,8085,32259,16417,15842,36.319572,45.41860824245104
آذربايجان غربي,سلماس,مركزئ,47608,168630,86601,82029,34.9970417,50.289292719649126
آذربايجان غربي,سلماس,كوهسار,6299,27916,14216,13700,#,#
آذربايجان غربي,ماكو,مركزئ,21490,75075,38511,36564,34.9970417,50.289292719649126
آذربايجان غربي,ماكو,بازرگان,5519,19676,10112,9564,39.5577095,44.55752727135168
آذربايجان غربي,مهاباد,خليفان,3667,14780,7695,7085,36.49622375,45.69899557327459
آذربايجان غربي,مهاباد,مركزئ,61895,222069,111613,110456,34.9970417,50.289292719649126
آذربايجان غربي,مياندوآب,مركزئ,68714,225345,116124,109221,34.9970417,50.289292719649126
آذربايجان غربي,مياندوآب,مرحمت آباد,7797,26219,13642,12577,37.15555955,45.8677605501248
آذربايجان غربي,مياندوآب,باروق,6723,22385,11530,10855,36.915873000000005,46.40270216701076
آذربايجان غربي,نقده,مركزئ,31358,106524,53826,52698,34.9970417,50.289292719649126
آذربايجان غربي,نقده,محمديار,6123,21147,10761,10386,37.125665749999996,45.47577746883992
آذربايجان غربي,بوكان,سيمينه,8149,26672,13683,12989,36.683344500000004,46.229990705961754
آذربايجان غربي,بوكان,مركزئ,66095,224731,113690,111041,34.9970417,50.289292719649126
