ostan,shahrestan,bakhsh,shahr,fam,pop,m,f,lat,lon
گيلان,شفت,مرکزئ,جيرده,4577,13211,6587,6624,37.1777923,49.4855075
گيلان,شفت,مرکزئ,ملاسرا,3676,11008,5585,5423,37.2698599,49.4545861
گيلان,شفت,مرکزئ,شفت,2691,8184,4068,4116,37.1703562,49.4027782
گيلان,املش,رانکوه,سمام,1049,2793,1446,1347,36.8786161,50.058498152991206
گيلان,املش,رانکوه,شبخوس لات,3206,8978,4491,4487,37.01320565,50.21309362419264
گيلان,املش,رانکوه,کجيد,353,879,450,429,36.8907282,50.1186758
گيلان,املش,رانکوه,رانکوه,749,2154,1107,1047,37.0509408,50.2358103
گيلان,املش,مرکزئ,املش جنوبي,1995,5517,2789,2728,37.033759700000004,50.14777057116341
گيلان,املش,مرکزئ,املش شمالي,2686,7460,3601,3859,37.0939377,50.22592913738964
گيلان,املش,مرکزئ,املش,5268,15444,7677,7767,37.0961905,50.1844452
گيلان,رضوانشهر,پره سر,ديناچال,5290,16697,8317,8380,37.6625399,49.0537533
گيلان,رضوانشهر,پره سر,ييلاقي ارده,1135,3538,1802,1736,37.5389352,48.8276115
گيلان,رضوانشهر,پره سر,پره سر,2536,8016,4053,3963,37.6026842,49.0656917
گيلان,رضوانشهر,مرکزئ,خوشابر,4564,14468,7248,7220,37.49748065,49.043657015808584
گيلان,رضوانشهر,مرکزئ,گيل دولاب,2509,7627,3798,3829,37.576964700000005,49.16474035578896
گيلان,رضوانشهر,مرکزئ,رضوانشهر,6212,19519,9756,9763,37.5479126,49.1395774
گيلان,سياهکل,ديلمان,پيرکوه,1242,3598,1841,1757,36.8254316,50.0093966
گيلان,سياهکل,ديلمان,ديلمان,1998,5270,2583,2687,36.8884879,49.906745
گيلان,سياهکل,ديلمان,ديلمان,564,1729,873,856,36.8884879,49.906745
گيلان,سياهکل,مرکزئ,توتکي,1323,3891,1907,1984,37.0664321,49.8735273
گيلان,سياهکل,مرکزئ,خرارود,2308,6723,3340,3383,37.0951624,49.7719693
گيلان,سياهکل,مرکزئ,مالفجان,2119,5839,2903,2936,37.1607922,49.9102524
گيلان,سياهکل,مرکزئ,سياهکل,6796,19924,9830,10094,37.1521893,49.8716407
گيلان,ماسال,شاندرمن,شاندرمن,3215,10310,5164,5146,37.41168185,49.00786100042909
گيلان,ماسال,شاندرمن,شيخ نشين,1978,5968,2932,3036,37.4556677,49.1350177
گيلان,ماسال,شاندرمن,بازار جمعه,1762,5729,2842,2887,37.4058797,49.1199769
گيلان,ماسال,مرکزئ,حومه,2721,8209,4119,4090,37.33820595,49.13499003674133
گيلان,ماسال,مرکزئ,ماسال,1466,4532,2245,2287,37.3640801,49.1328792
گيلان,ماسال,مرکزئ,ماسال,5759,17901,8954,8947,37.3640801,49.1328792
مازندران,آمل,لاريجان,بالالاريجان,1398,3746,1982,1764,35.87072275,52.130046865692705
مازندران,آمل,لاريجان,لاريجان سفلي,1282,3637,1903,1734,36.03383995,52.169516390070484
مازندران,آمل,لاريجان,رينه,352,982,495,487,35.8819792,52.1697254
مازندران,آمل,لاريجان,گزنک,103,319,151,168,35.9038115,52.2246758
مازندران,آمل,مرکزئ,پائين خيابان ليتکوه,9656,29389,14983,14406,36.489842749999994,52.27755170947131
مازندران,آمل,مرکزئ,هرازپي جنوبي,6108,18460,9361,9099,#,#
مازندران,آمل,مرکزئ,دشت سر سفلي,3786,11423,5863,5560,#,#
مازندران,آمل,مرکزئ,آمل,78597,237528,118706,118822,36.4718947,52.3499009
مازندران,آمل,دابودشت,دابوئ جنوبي,6411,19077,9783,9294,36.51235685,52.46628229414258
